,dtype,missing_pct,n_unique
sec_app_fico_range_low,float64,98.81909756047008,59
sec_app_fico_range_high,float64,98.81909756047008,59
revol_bal_joint,float64,98.81909756047008,6447
dti_joint,float64,98.4280542486234,2912
annual_inc_joint,float64,98.42770880400164,2336
verification_status_joint,object,98.42770880400164,3
mths_since_last_record,float64,81.35618104061739,121
mths_since_recent_bc_dlq,float64,74.57665761601757,155
mths_since_last_major_derog,float64,70.82581991280978,158
il_util,float64,66.65595788339172,209
mths_since_recent_revol_delinq,float64,64.23197297241279,154
mths_since_rcnt_il,float64,62.59024740743811,291
all_util,float64,61.595366896732784,162
open_rv_12m,float64,61.592948784380376,25
total_bal_il,float64,61.592948784380376,84027
open_il_24m,float64,61.592948784380376,30
open_il_12m,float64,61.592948784380376,19
open_act_il,float64,61.592948784380376,40
open_acc_6m,float64,61.592948784380376,18
total_cu_tl,float64,61.592948784380376,46
open_rv_24m,float64,61.592948784380376,45
max_bal_bc,float64,61.592948784380376,22510
inq_fi,float64,61.592948784380376,24
inq_last_12m,float64,61.592948784380376,39
mths_since_last_delinq,float64,48.41596368686136,146
mths_since_recent_inq,float64,9.90614269626436,26
emp_length,float64,6.165150164777085,11
num_tl_120dpd_2m,float64,4.725164258917653,5
mo_sin_old_il_acct,float64,2.862008691386684,492
bc_util,float64,1.0962685071956115,1349
percent_bc_gt_75,float64,1.0833143338791358,197
bc_open_to_buy,float64,1.0361611430071644,58923
mths_since_recent_bc,float64,0.9857262282283527,443
revol_util,float64,0.04974402553526644,1222
dti,float64,0.0210721219281337,5752
avg_cur_bal,float64,0.0003454446217726836,61702
num_rev_accts,float64,0.0001727223108863418,97
initial_list_status,object,0.0,2
collections_12_mths_ex_med,float64,0.0,10
zip_code,int64,0.0,915
loan_amnt,float64,0.0,1498
term,float64,0.0,2
total_acc,float64,0.0,136
revol_bal,float64,0.0,66606
open_acc,float64,0.0,81
pub_rec,float64,0.0,29
inq_last_6mths,float64,0.0,7
fico_range_high,float64,0.0,38
addr_state,object,0.0,50
fico_range_low,float64,0.0,38
delinq_2yrs,float64,0.0,29
home_ownership,object,0.0,5
annual_inc,float64,0.0,34284
verification_status,object,0.0,3
purpose,object,0.0,14
acc_now_delinq,float64,0.0,8
mo_sin_rcnt_tl,float64,0.0,177
mo_sin_rcnt_rev_tl_op,float64,0.0,255
mo_sin_old_rev_tl_op,float64,0.0,722
delinq_amnt,float64,0.0,1269
chargeoff_within_12_mths,float64,0.0,11
acc_open_past_24mths,float64,0.0,53
total_rev_hi_lim,float64,0.0,13152
application_type,object,0.0,2
tot_cur_bal,float64,0.0,275117
tot_coll_amt,float64,0.0,9742
num_bc_sats,float64,0.0,50
num_bc_tl,float64,0.0,64
num_actv_rev_tl,float64,0.0,51
num_actv_bc_tl,float64,0.0,34
mort_acc,float64,0.0,37
num_accts_ever_120_pd,float64,0.0,37
num_sats,float64,0.0,79
num_rev_tl_bal_gt_0,float64,0.0,44
num_il_tl,float64,0.0,109
num_op_rev_tl,float64,0.0,70
pct_tl_nvr_dlq,float64,0.0,588
num_tl_30dpd,float64,0.0,5
num_tl_op_past_12m,float64,0.0,30
num_tl_90g_dpd_24m,float64,0.0,27
tot_hi_cred_lim,float64,0.0,287391
tax_liens,float64,0.0,26
pub_rec_bankruptcies,float64,0.0,11
total_bal_ex_mort,float64,0.0,142273
total_il_high_credit_limit,float64,0.0,129594
total_bc_limit,float64,0.0,6116
target,int64,0.0,2
credit_history_months,float64,0.0,2541
