k,model,AUC,Gini,KS,F1,Recall,Precision,Accuracy,Brier
2,XGBoost,0.7116452806735764,0.4232905613471527,0.3032356748391992,0.09520323867286118,0.05147694320816135,0.6323047921420776,0.790771101484721,0.15183168071417438
2,LightGBM,0.7114717087055195,0.4229434174110389,0.30316198624836277,0.09515917099683449,0.05147694320816135,0.62843900995957,0.7906640136519715,0.15183950804455706
2,CatBoost,0.7076136643475958,0.4152273286951915,0.2964155710858879,0.09155093025867556,0.04938490989717535,0.6263060848186847,0.7904239296398394,0.15258865367856375
3,XGBoost,0.7119940328088367,0.4239880656176733,0.3046724381555203,0.09305563873749775,0.05020072211497298,0.635935741328149,0.7907538292536324,0.15176438626791122
3,LightGBM,0.7120497076260296,0.4240994152520592,0.3043866115179231,0.09229087424001917,0.049780699983037566,0.631908130831539,0.7906087425124878,0.15177003923474447
3,CatBoost,0.7080695380650136,0.4161390761300272,0.297943171669212,0.09121067569287913,0.049191053528589775,0.6256420793096363,0.7903893851776622,0.152527214554821
4,XGBoost,0.7119575626995543,0.4239151253991087,0.3036219625617054,0.09283730262714593,0.05007956188460699,0.6349856616140925,0.7907175575683462,0.15177248937289606
4,LightGBM,0.7120403457499538,0.42408069149990757,0.3043780388213573,0.09175384430922334,0.049449528686703874,0.6349963696711959,0.7906605592057537,0.1517688293949145
4,CatBoost,0.708082147998488,0.416164295996976,0.29726556234253476,0.09176565753404137,0.04948183808146814,0.6308310163731851,0.7905534713730042,0.15252306515148875
5,XGBoost,0.7120661099884762,0.4241322199769524,0.3042541460410772,0.0923567833173538,0.0497968546804197,0.6355014946912689,0.7907054670065842,0.15175887726203122
5,LightGBM,0.7119233173877629,0.42384663477552587,0.3037350597290193,0.0916875819441843,0.04942529664063068,0.6326509511993383,0.7905966519507258,0.15178361714604666
5,CatBoost,0.708051830802619,0.41610366160523804,0.29769788591800145,0.09365238315871284,0.05061266689821733,0.6259114973529118,0.7905189269108269,0.1525160939588608
6,XGBoost,0.7120483891059227,0.42409677821184544,0.3039965164508181,0.09298078866029531,0.050176490068899786,0.6328443357783211,0.7906691953212981,0.15175592970823001
6,LightGBM,0.7119785670874115,0.42395713417482295,0.3039764485353939,0.0923816584664465,0.049821086726492894,0.6339157245632066,0.7906657408750803,0.1517621632266004
6,CatBoost,0.7080019371173049,0.4160038742346097,0.2970746828704002,0.09341086430087596,0.050475351970469214,0.6253377364154908,0.7904912913410851,0.15250627798343083
7,XGBoost,0.7121977803053643,0.4243955606107286,0.3043649649063023,0.09155087908628985,0.04933644580502896,0.6342020558612813,0.7906294691897942,0.1517487789930948
7,LightGBM,0.7119663423959154,0.42393268479183077,0.3040247170118909,0.09305145902891108,0.05020072211497298,0.6355455568053994,0.7907434659149791,0.15176555533947003
7,CatBoost,0.7081345388755967,0.4162690777511935,0.2977660615121905,0.09352641691400204,0.050523816062615606,0.6282643631980716,0.7905759252734195,0.15249268449338713
8,XGBoost,0.7122065151306223,0.42441303026124455,0.3043475551489931,0.09161403429907172,0.04938490989717535,0.6322647362978283,0.7905828341658548,0.15174787261318837
8,LightGBM,0.7119268447338388,0.42385368946767765,0.3037087094864901,0.09190168795962077,0.049562611568378795,0.6305621210564176,0.7905534713730042,0.15177987315152516
8,CatBoost,0.708374469916814,0.41674893983362793,0.2984157765760904,0.09235306446300788,0.04982916407518396,0.6299397528847136,0.7905603802654396,0.15247716063708458
9,XGBoost,0.7120431923010411,0.42408638460208214,0.3047046983579975,0.09218599006674608,0.04969992649612691,0.6351156069364162,0.7906864675523867,0.15174990193897858
9,LightGBM,0.7121374352199972,0.42427487043999434,0.3051033545156958,0.0921191601561037,0.04966761710136265,0.6340482573726541,0.7906553775364271,0.15174661094324327
9,CatBoost,0.7083374550189239,0.41667491003784773,0.29767197632975795,0.09236064347175459,0.04985339612125716,0.6267898852442368,0.7904774735562142,0.1524727879121565
10,XGBoost,0.7120964718602406,0.4241929437204812,0.3044123752861728,0.09207785785995774,0.04963530770659839,0.6354048185296246,0.7906881947754956,0.15174787781211518
10,LightGBM,0.7121383463775683,0.4242766927551367,0.30392508767059734,0.09153863448999476,0.04932836845633789,0.6343616910771788,0.7906329236360119,0.15175231091902874
10,CatBoost,0.7080898314007213,0.4161796628014427,0.2975777861966812,0.09336263999162667,0.050434965227013885,0.6272225012556504,0.7905396535881333,0.15251495174613014
11,XGBoost,0.7120822092824237,0.42416441856484743,0.3044964805567484,0.09217812211990199,0.04968377179874478,0.637013256006628,0.7907348297994349,0.15175130898398492
11,LightGBM,0.7120680838556136,0.4241361677112272,0.30418485982275634,0.09234802801603056,0.04978877733172863,0.6359884440775898,0.7907175575683462,0.15175702125726284
11,CatBoost,0.7080722272256268,0.4161444544512536,0.29774634802258065,0.09383896880254063,0.050717672431201184,0.6265216523647974,0.7905448352574599,0.15250094234273837
