risk_grade,pd_decile,n,mean_predicted_PD,observed_default_rate
A,"(-0.001, 0.0476]",3870,0.03075829267343001,0.028940568475452195
B,"(0.0476, 0.0707]",3395,0.062462335714140414,0.061855670103092786
C,"(0.0707, 0.0955]",2610,0.09249044410113631,0.07318007662835249
D,"(0.0955, 0.13]",3592,0.11788117521772273,0.11525612472160357
E,"(0.13, 0.158]",3011,0.14756707495251037,0.14015277316506145
F,"(0.158, 0.197]",3243,0.18141341548972464,0.1637372802960222
G,"(0.197, 0.25]",4471,0.23167003755187113,0.1889957503914113
H,"(0.25, 0.308]",2389,0.2891693212413149,0.24570950188363333
I,"(0.308, 0.426]",3074,0.35540825801385867,0.27651268705270005
J,"(0.426, 1.0]",3184,0.5095291873018946,0.3903894472361809
